rank,name,ioc,dob
426,Fernanda Labrana,CHI,1999/3/13
427,Sofia Shapatava,GEO,1989/1/12
428,Ikumi Yamazaki,JPN,2001/8/24
429,Lisa Zaar,SWE,2000/4/30
430,Natsumi Kawaguchi,JPN,2002/6/28
431,Victoria Allen,GBR,2001/2/26
432,Lea Boskovic,CRO,1999/9/22
433,Jasmijn Gimbrere,NED,2001/3/6
434,Ylena In Albon,SUI,1999/3/6
435,Noemi Basiletti,ITA,2006/3/11
436,Jiaqi Wang,CHN,2002/3/25
437,Kristina Liutova,RUS,2010/2/2
438,Jenny Duerst,SUI,1999/3/25
439,Kristina Dmitruk,BLR,2003/9/25
440,Ena Koike,JPN,2006/11/21
441,Rada Zolotareva,RUS,2008/9/28
442,Stephanie Judith Visscher,NED,2000/1/25
443,Astrid Lew Yan Foon,FRA,2005/8/15
444,Thaisa Grana Pedretti,BRA,1999/5/15
445,Nicole Fossa Huergo,ITA,1995/5/26
446,Lucija Ciric Bagaric,CRO,2004/1/9
447,Maria Florencia Urrutia,ARG,2001/3/9
448,Boyoung Jeong,KOR,2003/5/21
449,Patcharin Cheapchandej,THA,1994/12/13
450,Lidia Encheva,BUL,2006/7/30
451,Destanee Aiava,AUS,2000/5/10
452,Ariana Arseneault,CAN,2002/6/15
453,Vaidehi Chaudhari,IND,2000/2/14
454,Angella Okutoyi,KEN,2004/1/29
455,Diana Martynov,FRA,2001/4/25
456,Aunchisa Chanta,THA,2002/9/12
457,Anastasia Abbagnato,ITA,2003/11/19
458,Ella Mcdonald,GBR,2005/8/4
459,Ranah Akua Stoiber,GBR,2005/5/25
460,Wushuang Zheng,CHN,1998/11/29
461,Radka Zelnickova,SVK,2003/6/13
462,Sara Dols,ESP,2005/5/9
463,Alessandra Mazzola,ITA,1999/12/13
464,Berfu Cengiz,TUR,1999/10/18
465,Emily Seibold,GER,2000/1/1
466,Antonia Schmidt,GER,2001/6/23
467,Britt Du Pree,NED,2007/1/8
468,Maria Aran Teixido Garcia,ESP,2001/1/17
469,Mio Mushika,JPN,2005/7/21
470,Sofia Elena Cabezas Dominguez,VEN,2002/2/6
471,Maria Martinez Vaquero,ESP,2002/2/9
472,Carla Markus,ARG,2006/4/28
473,Meiqi Guo,CHN,2000/1/9
474,Nahia Berecoechea,FRA,2004/4/23
475,Valentini Grammatikopoulou,GRE,1997/2/9
476,Venus Williams,USA,1980/6/17
477,Emily Appleton,GBR,1999/9/1
478,Lucia Cortez Llorca,ESP,2000/6/5
479,Varvara Panshina,RUS,2006/2/11
480,Valeriya Strakhova,UKR,1995/6/9
481,Madison Sieg,USA,2003/6/17
482,Gina Marie Dittmann,GER,2002/9/10
483,Mayu Crossley,JPN,2006/6/15
484,Josy Daems,GER,2006/3/13
485,Marie Vogt,GER,2005/2/3
486,Tahlia Kokkinis,AUS,2008/8/11
487,Ekaterina Khayrutdinova,RUS,2004/3/13
488,Ruth Roura Llaverias,ESP,2006/2/8
489,Jodie Burrage,GBR,1999/5/28
490,Jenny Lim,FRA,2005/1/17
491,Yaroslava Bartashevich,FRA,2005/3/29
492,Emina Bektas,USA,1993/3/30
493,Zongyu Li,CHN,2003/5/27
494,Ilinca Dalina Amariei,ROU,2002/7/30
495,Oana Georgeta Simion,ROU,1996/3/8
496,Arianna Zucchini,ITA,2003/7/10
497,Ipek Oz,TUR,1999/7/8
498,Mariam Bolkvadze,GEO,1998/1/1
499,Mathilde Lollia,FRA,2000/5/20
500,Ema Burgic,BIH,1992/8/22
501,Rasheeda Mcadoo,USA,1995/6/30
502,Laura Mair,ITA,2003/1/3
503,Daria Lodikova,RUS,1996/5/25
504,Luiza Fullana,BRA,2001/4/9
505,Yuki Naito,JPN,2001/2/16
506,Irina Bara,ROU,1995/3/18
507,Rositsa Dencheva,BUL,2007/3/10
508,Isabella Maria Serban,ROU,2006/3/28
509,Yelyzaveta Kotliar,UKR,2007/2/1
510,Maria Sara Popa,ROU,2005/7/29
511,Ekaterina Maklakova,RUS,2004/3/18
512,Anja Stankovic,SRB,2005/6/13
513,Yuno Kitahara,JPN,2006/7/11
514,Patricia Maria Tig,ROU,1994/7/27
515,Maria Kozyreva,RUS,1999/5/22
516,Anastasia Kulikova,FIN,2000/2/15
517,Isis Louise Van Den Broek,NED,2005/12/28
518,Fangzhou Liu,CHN,1995/12/12
519,Maria Mateas,USA,1999/7/21
520,Shrivalli Rashmikaa Bhamidipaty,IND,2001/12/12
521,Alice Gillan,GBR,1998/8/15
522,Jaeda Daniel,USA,1999/7/28
523,Eva Marie Voracek,GER,1999/3/26
524,Ania Hertel,POL,2000/10/27
525,Sara Sorribes Tormo,ESP,1996/10/8
526,Ana Candiotto,BRA,2004/4/19
527,Georgia Andreea Craciun,ROU,1999/7/14
528,Gina Feistel,GER,2003/1/25
529,Katerina Tsygourova,SUI,2000/5/11
530,Ekaterina Ovcharenko,RUS,2000/12/31
531,Deborah Chiesa,ITA,1996/6/13
532,Shilin Xu,CHN,1998/1/10
533,Vitalia Diatchenko,RUS,1990/8/2
534,Maria Fernanda Navarro Oliva,MEX,1996/6/22
535,Ayumi Koshiishi,JPN,2000/7/28
536,Julia Adams,USA,1999/9/23
537,Esther Adeshina,GBR,2001/10/4
538,Ashley Lahey,USA,1999/10/26
539,Julia Stusek,GER,2008/6/23
540,Marie Weckerle,LUX,2003/5/4
541,Camilla Zanolini,ITA,2003/3/26
542,Petra Martic,CRO,1991/1/19
543,Malaika Rapolu,USA,2003/4/18
544,Weronika Falkowska,POL,2000/6/17
545,Ying Zhang,CHN,1996/4/15
546,Sarah Van Emst,NED,2004/11/6
547,Joelle Lilly Sophie Steur,GER,2004/3/30
548,Draginja Vukovic,SRB,2000/4/27
549,Verena Meliss,ITA,1997/7/21
550,Zeel Desai,IND,1999/2/18
551,Mayuka Aikawa,JPN,1998/4/2
552,Sloane Stephens,USA,1993/3/20
553,Hannah Klugman,GBR,2009/2/18
